Release 11.1 - par L.33 (lin)
Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

Fri Apr  9 15:26:36 2010


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       leon3mp.ncd
OUTPUT FILE:      leon3mp_pad.txt
PART TYPE:        xc3s1600e
SPEED GRADE:      -4
PACKAGE:          fg320

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                 |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|D10       |           |DIFFM    |IO_L11P_0/GCLK4          |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D11       |           |DIFFS    |IO_L09N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D12       |           |DIFFSI   |IP_L07N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D13       |led(4)     |IOB      |IO                       |OUTPUT       |LVTTL      |0             |8         |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|D14       |           |DIFFM    |IO_L03P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|D15       |           |         |TMS                      |             |           |              |          |         |           |         |       |          |           |                |
|D16       |romsn      |IOB      |IO_L23N_1/LDC0           |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|D17       |writen     |IOB      |IO_L23P_1/HDC            |OUTPUT       |LVCMOS33   |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |YES        |NONE            |
|D18       |           |IBUF     |IP/VREF_1                |UNUSED       |           |1             |          |         |           |         |       |          |           |                |
|E1        |ddr_dq(9)  |IOB      |IO_L03N_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|E2        |ddr_dq(8)  |IOB      |IO_L03P_3                |BIDIR        |SSTL2_I    |3             |          |         |NONE**     |IFD      |       |LOCATED   |YES        |NONE            |
|E3        |           |DIFFS    |IO_L04N_3                |UNUSED       |           |3             |          |         |           |         |       |          |           |                |
|E4        |ddr_ad(4)  |IOB      |IO_L04P_3                |OUTPUT       |SSTL2_I    |3             |          |         |NONE**     |         |       |LOCATED   |YES        |NONE            |
|E5        |           |         |VCCINT                   |             |           |              |          |         |           |         |1.2    |          |           |                |
|E6        |led(2)     |IOB      |IO_L21N_0                |OUTPUT       |LVTTL      |0             |8         |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|E7        |           |DIFFS    |IO_L19N_0/VREF_0         |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
